leg_state	leg_chamber	leg_party	leg_gender	leg_latino	leg_native	leg_arab	leg_asian	leg_white	leg_black	leg_nonblackminority	treat_out	outcitiesisausedoutcity	code_some_response_given	totalpop	whitepop	blackpop	nativepop	asianpop	islanderp	otherrace	hispanicp	totalhouses	urbanhouses	ruralhousing	medianhhincom	black_medianhh	latino_medianhh	white_medianhh	blackpercent	statessquireindex	blackvotingpe	nonblackvotin	district_overallturnout	census_district_blackpercent	demvotepercent	nonblacknonwhite	urbanpercent	leg_senator	keepthis	leg_democrat	south	chamber	dist_from_dist_to_out	helpful
"AK"	"L"	"R"	"M"	0	0	0	0	1	0	0	0	0	0	1.5873	11801	113	2647	741	59	65	447	6866	4776	2090	5.0625	2.6814	14919	2.6586	0.007119007	0.227	0.0	0.0	0.0	0.007119007	0.0	0.0	0.6956015	0.0	1.0	0.0	0.0	"L"	12.942397	0.0
"AK"	"L"	"R"	"F"	0	0	0	0	1	0	0	0	0	1	1.6218	11705	94	3117	639	82	104	477	6695	4138	2557	4.9713	2.7126	18899	2.6619	0.0057960288	0.227	0.0	0.0	0.0	0.005796029	0.42670813	0.0	0.61807317	0.0	1.0	0.0	0.0	"L"	11.585002	1.0
"AK"	"L"	"R"	"F"	0	0	0	0	1	0	0	0	0	1	1.671	12726	201	2011	980	136	81	575	5721	4716	1005	6.9646	2.3087	13422	2.9973	0.012028725	0.227	0.0	0.0	0.0	0.012028725	0.45241973	0.0	0.82433146	0.0	1.0	0.0	0.0	"L"	10.721048	1.0
"AK"	"L"	"R"	"M"	0	1	0	0	0	0	1	0	0	1	1.6122	9370	69	5740	468	47	56	372	7987	0	7987	4.1811	2.4668	14642	2.4887	0.004279866	0.227	0.0	0.0	0.0	0.004279866	0.38456908	1.0	0.0	0.0	1.0	0.0	0.0	"L"	8.967181	1.0
"AK"	"L"	"D"	"M"	0	1	0	0	0	0	1	1	0	1	1.5622	6866	129	8095	99	34	95	304	8620	0	8620	3.1152	2.149	10279	2.0597	0.008257585	0.227	0.0	0.0	0.0	0.008257586	0.53611135	1.0	0.0	0.0	1.0	1.0	0.0	"L"	13.138599	1.0
"AK"	"L"	"R"	"M"	0	0	0	0	1	0	0	1	0	0	1.6236	13968	192	1194	323	47	128	384	6416	2299	4117	6.0678	1.9856	16358	2.7017	0.011825573	0.227	0.0	0.0	0.0	0.011825573	0.49994978	0.0	0.35832295	0.0	1.0	0.0	0.0	"L"	9.934279	0.0
"AK"	"L"	"D"	"M"	0	0	0	0	1	0	0	1	0	1	1.6426	13212	444	1576	494	35	124	541	7051	2695	4356	5.503	2.409	14583	2.7584	0.027030317	0.227	0.0	0.0	0.0	0.027030317	0.6286632	0.0	0.38221532	0.0	1.0	1.0	0.0	"L"	10.376728	0.0
"AK"	"L"	"D"	"M"	0	0	0	1	0	0	1	0	0	0	1.6872	10812	1649	2620	648	112	119	912	6975	6959	16	4.2315	1.7252	15800	2.406	0.097735904	0.227	0.0	0.0	0.0	0.0977359	0.5231124	1.0	0.9977062	0.0	1.0	1.0	0.0	"L"	10.250633	0.0
"AK"	"U"	"R"	"M"	0	0	0	0	1	0	0	0	0	1	3.2091	23506	207	5764	1380	141	169	924	13561	8914	4647	5.0087	2.6918	17104	2.6602	0.0064504077	0.227	0.0	0.0	0.0	0.0064504067	0.0	0.0	0.6573261	1.0	1.0	0.0	0.0	"U"	11.970252	1.0
"AK"	"U"	"D"	"M"	0	1	0	0	0	0	1	1	0	0	3.1744	16236	198	13835	567	81	151	676	16607	0	16607	3.6754	2.202	12839	2.3071	0.006237399	0.227	0.0	0.0	0.0	0.0062373993		1.0	0.0	1.0	1.0	1.0	0.0	"U"	5.8268805	0.0
"AK"	"U"	"D"	"M"	0	0	0	0	1	0	0	0	0	1	3.2662	27180	636	2770	817	82	252	925	13467	4994	8473	5.8125	2.2989	15321	2.7298	0.019472169	0.227	0.0	0.0	0.0	0.019472169	0.6017098	0.0	0.3708324	1.0	1.0	1.0	0.0	"U"	9.993111	1.0
"AK"	"U"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	3.3567	21788	3790	4048	1196	288	253	2204	12839	12254	585	4.0456	1.5235	11862	2.2835	0.11290851	0.227	0.0	0.0	0.0	0.11290851	0.5183477	0.0	0.9544357	1.0	1.0	1.0	0.0	"U"	10.190332	0.0
"AK"	"U"	"R"	"F"	0	0	0	0	1	0	0	1	0	0	3.407	29206	390	2519	513	101	259	1082	11584	7196	4388	5.5846	3.2087	16473	2.3325	0.011447021	0.227	0.0	0.0	0.0	0.011447021	0.19335957	0.0	0.62120163	1.0	1.0	0.0	0.0	"U"	10.5311	0.0
"AK"	"U"	"R"	"M"	0	0	0	0	1	0	0	0	0	1	3.3792	29255	286	2613	385	113	190	950	16848	2063	14785	4.9515	1.761	17534	2.2931	0.008463542	0.227	0.0	0.0	0.0	0.008463542		0.0	0.12244777	1.0	1.0	0.0	0.0	"U"	10.677846	1.0
"AK"	"U"	"R"	"M"	0	0	0	0	1	0	0	1	0	0	3.293	25143	2651	1373	1272	195	220	2076	10053	9936	117	5.41	1.4079	12581	2.2818	0.08050409	0.227	0.0	0.0	0.0	0.0805041	0.2728822	0.0	0.98836166	1.0	1.0	0.0	0.0	"U"	10.698754	0.0
"AK"	"U"	"D"	"M"	0	0	0	0	1	0	0	0	0	1	3.466	18867	4302	4970	2571	937	342	2671	12261	12261	0	4.2901	1.6628	12806	2.3829	0.12412002	0.227	0.0	0.0	0.0	0.12412002	0.61136776	0.0	1.0	1.0	1.0	1.0	0.0	"U"	10.781367	1.0
"AK"	"U"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	3.3844	22544	1257	3440	3438	516	316	2333	14208	14208	0	4.8244	2.0547	18564	3.1062	0.037141	0.227	0.0	0.0	0.0	0.037141	1.0	0.0	1.0	1.0	1.0	1.0	0.0	"U"	10.889771	0.0
"AK"	"U"	"R"	"M"	0	0	0	0	1	0	0	1	0	0	3.2244	27950	453	1612	1022	104	166	937	11855	8196	3659	8.4555	2.3908	17652	3.6114	0.014049125	0.227	0.0	0.0	0.0	0.014049126	0.46782923	0.0	0.69135386	1.0	1.0	0.0	0.0	"U"	10.420528	0.0
"AK"	"U"	"R"	"M"	0	0	0	0	1	0	0	1	0	1	3.4233	29419	196	2837	513	165	242	861	15950	3360	12590	4.7626	1.4066	11084	2.209	0.0057254704	0.227	0.0	0.0	0.0	0.0057254694	0.3883203	0.0	0.2106583	1.0	1.0	0.0	0.0	"U"	11.263769	1.0
"AK"	"U"	"R"	"M"	0	0	0	0	1	0	0	0	0	1	3.2932	23169	310	5092	2645	230	155	1331	14424	3749	10675	4.8314	1.2305	15194	2.4215	0.009413337	0.227	0.0	0.0	0.0	0.009413336	0.39779338	0.0	0.25991404	1.0	1.0	0.0	0.0	"U"	12.609381	1.0
"AK"	"U"	"D"	"M"	0	1	0	0	0	0	1	0	0	1	3.1357	7110	361	19965	2443	108	120	1250	11670	2239	9431	4.3254	2.2469	17718	3.2214	0.011512581	0.227	0.0	0.0	0.0	0.011512581	0.6916344	1.0	0.19185947	1.0	1.0	1.0	0.0	"U"	1.7714692	1.0
"AK"	"U"	"D"	"M"	0	1	0	0	0	0	1	0	0	1	3.1519	5245	191	24775	712	114	81	401	10561	3670	6891	4.4779	3.7186	14171	3.8874	0.0060598375	0.227	0.0	0.0	0.0	0.006059837	1.0	1.0	0.34750497	1.0	1.0	1.0	0.0	"U"	19.130487	1.0
"AK"	"L"	"R"	"M"	0	0	0	0	1	0	0	1	0	1	1.6695	10976	2141	1428	548	176	134	1292	5864	5295	569	3.8003	1.3633	9803	2.159	0.12824199	0.227	0.0	0.0	0.0	0.12824199	0.4740338	0.0	0.9029673	0.0	1.0	0.0	0.0	"L"	10.184217	1.0
