Region,Chamber,Session/Congress,Bill Type,Number,Title,Current Status,Current Status Date,Date Introduced,Sponsor(s),Cosponsors,Primary Party,Quorum Profile URL,Bill Text URL,Word Count,Official Description,Organization Description,Stance
Michigan,Senate,2011-2012 Regular Session,Senate Bill,577,S.B. 577 (2011-2012 Regular Session): Occupations; Athletics; Unarmed Combat Regulatory Act; Provide for Confidentiality of Information and Make Other General Revisions. Amends Secs. 20 & 33 of 2004 Pa 403 (Mcl 338.3620 & 338.3633) & Adds Sec. 61a,Signed by the Governor,12/31/2012,8/25/2011,MI Sen. Joe Hune (R-MI22),,Republican,https://www.quorum.us/bill/1534026/,http://www.legislature.mi.gov/documents/2011-2012/billconcurred/Senate/htm/2011-SCB-0577.htm,1586,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,231,S.B. 231 (2011-2012 Regular Session): Crimes; Other; Discovery of a Dead Body; Require to Notify Law Enforcement Under Certain Circumstances. Amends Sec. 2841 of 1978 Pa 368 (Mcl 333.2841),Signed by the Governor,12/31/2012,4/7/2011,MI Sen. Tonya Schuitmaker (R-MI26),MI Sen. Dave Hildenbrand (R-MI29),Republican,https://www.quorum.us/bill/1531100/,http://www.legislature.mi.gov/documents/2011-2012/billconcurred/Senate/htm/2011-SCB-0231.htm,591,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,192,S.B. 192 (2011-2012 Regular Session): Probate; Wills and Estates; Estate Administration Fee; Allow Deduction for Amount of Mortgage on Real Property. Amends Secs. 871 & 877 of 1961 Pa 236 (Mcl 600.871 & 600.877),Signed by the Governor,12/31/2012,4/7/2011,Bruce Caswell,"MI Sen. John Proos (R-MI21), MI Sen. Jim Marleau (R-MI12), MI Sen. Judy Emmons (R-MI33), MI Sen. Mike Green (R-MI31)",Republican,https://www.quorum.us/bill/1531041/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBH-0192.htm,377,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,152,"S.B. 152 (2011-2012 Regular Session): Criminal Procedure; Evidence; Electronic Recording of Certain Custodial Interrogation Sessions; Require Under Certain Circumstances and Revise Procedures for Determining Admissibility as Evidence. Amends 1927 Pa 175 (Mcl 760.1 - 777.69) by Adding Secs. 7, 8, 9, 10 & 11 to Ch. Iii",Signed by the Governor,12/31/2012,4/7/2011,MI Sen. Tonya Schuitmaker (R-MI26),,Republican,https://www.quorum.us/bill/1530971/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBH-0152.htm,1041,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,56,"S.B. 56 (2011-2012 Regular Session): Highways; Name; Renaming a Portion of M-21; Designate as ""Mark v. Ingram Ii Freeway"". Amends 2001 Pa 142 (Mcl 250.1001 - 250.2080) by Adding Sec. 1059",Signed by the Governor,12/31/2012,4/7/2011,John Gleason,"MI Sen. Rick Jones (R-MI24), MI Sen. Joe Hune (R-MI22), MI Sen. Steven Bieda (D-MI9), MI Sen. Judy Emmons (R-MI33), MI Sen. Darwin Booher (R-MI35), MI Sen. Coleman Young (D-MI1), John Pappageorge, Roger Kahn, MI Sen. Mike Nofs (R-MI19), Tupac Hunter, MI Sen. Morris Hood (D-MI3), Bruce Caswell, MI Sen. Hoon-Yung Hopgood (D-MI6), MI Sen. Patrick Colbeck (R-MI7), MI Sen. Tonya Schuitmaker (R-MI26), MI Sen. David Robertson (R-MI14), MI Sen. Jim Marleau (R-MI12), MI Sen. Rebekah Warren (D-MI18), John Moolenaar, MI Sen. Tory Rocca (R-MI10), Gretchen Whitmer, MI Sen. Goeff Hansen (R-MI34), MI Sen. Virgil Smith (D-MI4), MI Sen. Dave Hildenbrand (R-MI29), MI Sen. Bert Johnson (D-MI2), Mark Jansen, MI Sen. Jack Brandenburg (R-MI8), MI Sen. John Proos (R-MI21), MI Sen. Phil Pavlov (R-MI25), MI Sen. Vincent Gregory (D-MI11)",Democrat,https://www.quorum.us/bill/1530905/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBH-0056.htm,69,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,21,S.B. 21 (2011-2012 Regular Session): State Financing and Management; Other; Performance Metrics; Require of State Departments. Amends 1984 Pa 431 (Mcl 18.1101 - 18.1594) by Adding Sec. 447.  Tie Bar With: Sb 0802'11,Signed by the Governor,12/31/2012,4/7/2011,MI Sen. Tonya Schuitmaker (R-MI26),,Republican,https://www.quorum.us/bill/1530853/,http://www.legislature.mi.gov/documents/2011-2012/billintroduced/Senate/htm/2011-SIB-0021.htm,206,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,264,S.B. 264 (2011-2012 Regular Session): Use Tax; Collections; Prepayment Collection Process; Revise. Amends Sec. 6 of 1937 Pa 94 (Mcl 205.96),Signed by the Governor,12/31/2012,4/7/2011,MI Sen. Dave Hildenbrand (R-MI29),,Republican,https://www.quorum.us/bill/1531258/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBH-0264.htm,668,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,265,S.B. 265 (2011-2012 Regular Session): Traffic Control; Violations; Weight Restriction During Frost Restriction Periods; Provide Exemption for Trucks Transporting Heating Fuel Under Certain Circumstances. Amends Sec. 722 of 1949 Pa 300 (Mcl 257.722),Signed by the Governor,12/31/2012,4/7/2011,MI Sen. Tom Casperson (R-MI38),"MI Sen. Phil Pavlov (R-MI25), MI Sen. Mike Nofs (R-MI19)",Republican,https://www.quorum.us/bill/1531337/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBS-0265.htm,2907,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,246,"S.B. 246 (2011-2012 Regular Session): Juveniles; Criminal Procedure; Juvenile Competency Standards; Revise. Amends Sec. 1, Ch. Xiia of 1939 Pa 288 (Mcl 712a.1) & Adds Secs. 18n, 18o, 18p, 18q, 18r & 18s to Ch. Xiia.  Tie Bar With: Hb 4555'11",Signed by the Governor,12/31/2012,4/7/2011,MI Sen. Tonya Schuitmaker (R-MI26),,Republican,https://www.quorum.us/bill/1531184/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBS-0246.htm,3100,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,878,"S.B. 878 (2011-2012 Regular Session): Corrections; Other; Use of a Certain Youth Correctional Facility to House Certain Adult Inmates; Provide For, and Allow Department of Corrections to Contract With Certain Other Vendors for Placement of Prisoners. Amends Secs. 20i, 29, 63, 63a, 65, 65a, 69a & 70 of 1953 Pa 232 (Mcl 791.220i Et Seq.) & Adds Sec. 20j.  Tie Bar With: Hb 5174'11",Signed by the Governor,12/31/2012,12/14/2011,MI Sen. John Proos (R-MI21),,Republican,https://www.quorum.us/bill/1535615/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBS-0878.htm,1038,,,
