,senate,district,name,educcmte,reppercent,strata,newtreat,numbercalls,finalvote,anytreat,close,female,term,wnominate,democrat,extreme,lastterm,intended,cohort,
1,0,53,Jeff Irwin,0,0.195386514,1,0,0,1,0,0.304613471,0,1,-0.92900002,1,0.92900002,0,0,2010,
2,1,18,"Warren, Rebekah",0,0.34494701,4,0,0,1,0,0.15505299,1,1,-0.976000011,1,0.976000011,0,0,2010,*OtherChamberSince08
3,0,59,Matthew J. Lori,0,0.720000029,11,0,0,1,0,0.220000029,0,2,0.806999981,0,0.806999981,0,0,2008,
4,0,14,Paul Clemente,0,0.327192783,3,0,0,1,0,0.172807217,0,1,-0.448000014,1,0.448000014,0,0,2010,
5,1,26,"Robertson, David B",0,0.578371048,9,0,0,1,0,0.078371048,0,1,0.786000013,0,0.786000013,0,0,2010,
6,0,31,Marilyn Lane,0,0.461075306,5,0,0,1,0,0.038924694,1,1,-0.519999981,1,0.519999981,0,0,2010,
7,1,25,"Pavlov, Phil",1,0.668991029,9,0,0,1,0,0.168991029,0,1,0.787,0,0.787,0,0,2010,*OtherChamberSince08
8,0,50,Charles Smiley,0,0.470656693,5,0,0,1,0,0.029343307,0,1,-0.558000028,1,0.558000028,0,0,2010,
9,0,85,Ben Glardon,0,0.619036138,8,0,0,1,0,0.119036138,0,1,0.787999988,0,0.787999988,0,0,2010,
10,0,76,Roy Schmidt,0,0.33674106,3,0,0,1,0,0.16325894,0,2,-0.289000005,1,0.289000005,0,0,2008,
11,0,80,Aric Nesbitt,1,0.663696349,8,0,0,0,0,0.163696349,0,1,0.85799998,0,0.85799998,0,0,2010,
12,0,79,Al Pscholka,0,0.66373688,8,0,0,1,0,0.16373688,0,1,0.808000028,0,0.808000028,0,0,2010,
13,0,66,William Rogers,0,0.738834679,11,0,0,0,0,0.238834679,0,2,0.808000028,0,0.808000028,0,0,2008,
14,1,6,"Anderson, Glenn",0,0.443274379,7,0,0,0,0,0.056725621,0,2,-0.651000023,1,0.651000023,0,0,2006,
15,0,29,Tim Melton,0,0.21712555,3,0,0,NA,0,0.282874465,0,1,-0.331,1,0.331,0,0,2006,***RecordsIncompatible
16,1,8,"Hopgood, Hoon-Yung",1,0.400475234,7,0,0,1,0,0.099524766,0,1,-0.699999988,1,0.699999988,0,0,2010,
17,0,77,Thomas B. Hooker,1,0.723491073,8,0,0,0,0,0.223491073,0,1,1,0,1,0,0,2010,
18,1,29,"Hildenbrand, Dave",0,0.527044356,9,0,0,1,0,0.027044356,0,1,0.787,0,0.787,0,0,2010,*OtherChamberSince08
19,1,38,"Casperson, Tom",0,0.55913353,9,0,0,1,0,0.05913353,0,1,0.787999988,0,0.787999988,0,0,2010,
20,0,84,Kurt Damrow,0,0.500296414,8,0,0,0,0,0.000296414,0,1,0.808000028,0,0.808000028,0,0,2010,
21,0,20,Kurt Heise,1,0.580337346,8,0,0,1,0,0.080337346,0,1,0.808000028,0,0.808000028,0,0,2010,
22,0,86,Lisa Posthumus Lyons,0,0.702320039,8,0,0,1,0,0.202320039,1,1,0.808000028,0,0.808000028,0,0,2010,
23,0,75,Brandon Dillon,0,0.487603933,6,0,0,1,0,0.012396067,0,1,-0.474999994,1,0.474999994,0,0,2010,
24,0,32,Andrea LaFontaine,0,0.528681636,8,0,0,1,0,0.028681636,1,1,0.85799998,0,0.85799998,0,0,2010,
25,0,104,Wayne A. Schmidt,0,0.68177855,10,0,0,1,0,0.18177855,0,2,0.808000028,0,0.808000028,0,0,2008,
26,1,2,"Johnson, Bert",0,0.334173769,2,0,0,-1,0,0.165826231,0,1,-0.523999989,1,0.523999989,0,0,2010,*OtherChamberSince08
27,0,40,Charles Moss,0,0.674233556,10,0,0,1,0,0.174233556,0,3,0.707000017,0,0.707000017,1,0,2006,***ProblemOnBallotopedia
28,0,6,Frederick C. Durhal Jr.,0,0.034956556,3,0,0,1,0,0.465043455,0,2,-0.888000011,1,0.888000011,0,0,2008,
29,0,19,John J. Walsh,0,0.664742053,10,0,0,1,0,0.164742053,0,2,0.808000028,0,0.808000028,0,0,2008,
30,0,23,Pat Somerville,0,0.534391344,8,0,0,1,0,0.034391344,0,1,0.916999996,0,0.916999996,0,0,2010,
31,1,22,"Hune, Joe",0,0.689666092,9,0,0,1,0,0.189666092,0,1,0.88499999,0,0.88499999,0,0,2010,
32,0,109,Steven Lindberg,0,0.421364993,6,0,0,1,0,0.078635007,0,3,-0.657000005,1,0.657000005,1,0,2006,***ProblemOnBallotopedia
33,0,8,Thomas Stallworth III,1,0.025496477,1,0,0,1,0,0.474503517,0,1,-0.867999971,1,0.867999971,0,0,2010,
34,0,11,David E. Nathan,0,0.029116945,3,0,0,1,0,0.470883042,0,2,-0.912999988,1,0.912999988,0,0,2008,
35,1,5,"Hunter, Tupac A.",0,0.167375401,4,0,0,1,0,0.332624614,0,2,-0.621999979,1,0.621999979,0,0,2006,
36,1,9,"Bieda, Steven M",0,0.441690892,7,0,0,1,0,0.058309108,0,1,-0.569000006,1,0.569000006,0,0,2010,
37,1,15,"Kowall, Mike",0,0.624381304,9,0,0,1,0,0.124381304,0,1,0.787,0,0.787,0,0,2010,
38,0,52,Mark Ouimet,0,0.518877745,8,0,0,1,0,0.018877745,0,1,0.787999988,0,0.787999988,0,0,2010,
39,0,74,David Agema,0,0.806790829,11,0,0,0,0,0.306790829,0,3,0.816999972,0,0.816999972,1,0,2006,***ProblemOnBallotopedia
40,0,54,David Rutledge,1,0.348555028,1,0,0,1,0,0.151444972,0,1,-0.720000029,1,0.720000029,0,0,2010,
41,0,27,Ellen Cogen Lipton,0,0.301147491,3,0,0,1,0,0.198852509,1,2,-0.935000002,1,0.935000002,0,0,2008,
42,0,98,Jim Stamas,0,1,11,0,0,1,0,0.5,0,2,0.787999988,0,0.787999988,0,0,2008,
43,1,31,"Green, Mike",0,0.585208416,9,0,0,0,0,0.085208416,0,1,0.777999997,0,0.777999997,0,0,2010,
44,0,78,Sharon Tyler,0,0.653469622,10,0,0,1,0,0.153469622,1,2,0.722000003,0,0.722000003,0,0,2008,
45,0,44,Eileen Kowall,0,0.732404768,10,0,0,1,0,0.232404768,1,2,0.763999999,0,0.763999999,0,0,2008,
46,0,42,Harold L. Haugh,0,0.334314376,3,0,0,1,0,0.165685624,0,2,0.103,1,0.103,0,0,2008,
47,0,70,Rick Outman,0,0.561821163,8,0,0,1,0,0.061821163,0,1,0.808000028,0,0.808000028,0,0,2010,
48,0,93,Paul E. Opsommer,0,0.701665461,11,0,0,1,0,0.201665461,0,3,0.808000028,0,0.808000028,1,0,2006,***ProblemOnBallotopedia
49,0,73,Peter MacGregor,0,0.742334366,8,0,0,1,0,0.242334366,0,1,0.787999988,0,0.787999988,0,0,2010,
50,0,5,John Olumba,0,0.062111307,1,0,0,1,0,0.437888682,0,1,-0.973999977,1,0.973999977,0,0,2010,
51,1,34,"Hansen, Goeff",0,0.59598428,9,0,0,1,0,0.09598428,0,1,0.787,0,0.787,0,0,2010,*OtherChamberSince08
52,0,81,Judson S. Gilbert II,0,0.698300064,8,0,0,1,0,0.198300064,0,3,0.808000028,0,0.808000028,1,0,2006,***RecordsIncompatible
53,0,22,Douglas A. Geiss,1,0.320661485,3,0,0,1,0,0.179338515,0,2,-0.822000027,1,0.822000027,0,0,2008,
54,1,19,"Nofs, Mike",0,0.635833323,9,0,0,1,0,0.135833323,0,2,0.651000023,0,0.651000023,0,0,2008,***Unclear
55,0,83,Paul Muxlow,0,0.596264362,8,0,0,0,0,0.096264362,0,1,0.808000028,0,0.808000028,0,0,2010,
56,0,105,Greg MacMaster,0,0.70766753,8,0,0,1,0,0.20766753,0,1,0.808000028,0,0.808000028,0,0,2010,
57,0,34,Woodrow Stanley,0,0.168515652,3,0,0,1,0,0.331484348,0,2,-0.662999988,1,0.662999988,0,0,2008,
58,1,11,"Brandenburg, Jack",0,0.656861067,9,0,0,1,0,0.156861067,0,1,0.787,0,0.787,0,0,2010,
59,1,17,"Richardville, Randy",0,0.610335886,9,0,0,1,0,0.110335886,0,2,0.787,0,0.787,0,0,2006,
