Region,Chamber,Session/Congress,Bill Type,Number,Title,Current Status,Current Status Date,Date Introduced,Sponsor(s),Cosponsors,Primary Party,Quorum Profile URL,Bill Text URL,Word Count,Official Description,Organization Description,Stance
Michigan,Senate,2011-2012 Regular Session,Senate Bill,21,S.B. 21 (2011-2012 Regular Session): State Financing and Management; Other; Performance Metrics; Require of State Departments. Amends 1984 Pa 431 (Mcl 18.1101 - 18.1594) by Adding Sec. 447.  Tie Bar With: Sb 0802'11,Signed by the Governor,12/31/12,4/7/11,MI Sen. Tonya Schuitmaker (R-MI26),,Republican,https://www.quorum.us/bill/1530853/,http://www.legislature.mi.gov/documents/2011-2012/billintroduced/Senate/htm/2011-SIB-0021.htm,206,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,56,"S.B. 56 (2011-2012 Regular Session): Highways; Name; Renaming a Portion of M-21; Designate as ""Mark v. Ingram Ii Freeway"". Amends 2001 Pa 142 (Mcl 250.1001 - 250.2080) by Adding Sec. 1059",Signed by the Governor,12/31/12,4/7/11,John Gleason,"MI Sen. Bert Johnson (D-MI2), Roger Kahn, MI Sen. Rick Jones (R-MI24), MI Sen. Joe Hune (R-MI22), MI Sen. Mike Nofs (R-MI19), MI Sen. Vincent Gregory (D-MI11), MI Sen. Tory Rocca (R-MI10), Tupac Hunter, MI Sen. Rebekah Warren (D-MI18), MI Sen. Morris Hood (D-MI3), MI Sen. Virgil Smith (D-MI4), MI Sen. John Proos (R-MI21), MI Sen. Darwin Booher (R-MI35), MI Sen. Coleman Young (D-MI1), MI Sen. Patrick Colbeck (R-MI7), John Moolenaar, MI Sen. Tonya Schuitmaker (R-MI26), MI Sen. Steven Bieda (D-MI9), Mark Jansen, John Pappageorge, MI Sen. David Robertson (R-MI14), MI Sen. Jim Marleau (R-MI12), MI Sen. Phil Pavlov (R-MI25), MI Sen. Jack Brandenburg (R-MI8), Gretchen Whitmer, MI Sen. Goeff Hansen (R-MI34), MI Sen. Judy Emmons (R-MI33), Bruce Caswell, MI Sen. Dave Hildenbrand (R-MI29), MI Sen. Hoon-Yung Hopgood (D-MI6)",Democrat,https://www.quorum.us/bill/1530905/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBH-0056.htm,69,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,264,S.B. 264 (2011-2012 Regular Session): Use Tax; Collections; Prepayment Collection Process; Revise. Amends Sec. 6 of 1937 Pa 94 (Mcl 205.96),Signed by the Governor,12/31/12,4/7/11,MI Sen. Dave Hildenbrand (R-MI29),,Republican,https://www.quorum.us/bill/1531258/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBH-0264.htm,668,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,265,S.B. 265 (2011-2012 Regular Session): Traffic Control; Violations; Weight Restriction During Frost Restriction Periods; Provide Exemption for Trucks Transporting Heating Fuel Under Certain Circumstances. Amends Sec. 722 of 1949 Pa 300 (Mcl 257.722),Signed by the Governor,12/31/12,4/7/11,MI Sen. Tom Casperson (R-MI38),"MI Sen. Mike Nofs (R-MI19), MI Sen. Phil Pavlov (R-MI25)",Republican,https://www.quorum.us/bill/1531337/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBS-0265.htm,2907,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,380,"S.B. 380 (2011-2012 Regular Session): Criminal Procedure; Sentencing Guidelines; Sentencing Guidelines for Crime of Failure to Report a Dead Body With Purpose of Concealing Fact of or Cause of Death; Provide For. Amends Sec. 13k, Ch. Xvii of 1927 Pa 175 (Mcl 777.13k).  Tie Bar With: Sb 0231'11",Signed by the Governor,12/31/12,5/18/11,MI Sen. Dave Hildenbrand (R-MI29),"MI Sen. Tonya Schuitmaker (R-MI26), MI Sen. Rick Jones (R-MI24)",Republican,https://www.quorum.us/bill/1532505/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBH-0380.htm,240,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,409,S.B. 409 (2011-2012 Regular Session): Income Tax; Deductions; Certain Pension Income; Modify. Amends Sec. 30 of 1967 Pa 281 (Mcl 206.30),Signed by the Governor,12/31/12,6/8/11,MI Sen. Goeff Hansen (R-MI34),"John Pappageorge, John Moolenaar, MI Sen. Mike Green (R-MI31), MI Sen. Tom Casperson (R-MI38), MI Sen. Judy Emmons (R-MI33), MI Sen. Rick Jones (R-MI24), MI Sen. Tory Rocca (R-MI10), MI Sen. John Proos (R-MI21), MI Sen. Darwin Booher (R-MI35), Randy Richardville",Republican,https://www.quorum.us/bill/1532559/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBS-0409.htm,4164,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,539,S.B. 539 (2011-2012 Regular Session): Probate; Guardians and Conservators; Appointment in This State of Guardians and Conservators Appointed in Other Jurisdictions; Allow. Amends Secs. 5313 & 5433 of 1998 Pa 386 (Mcl 700.5313 & 700.5433) & Adds Secs. 5202a & 5301a,Signed by the Governor,12/31/12,6/30/11,MI Sen. Tonya Schuitmaker (R-MI26),,Republican,https://www.quorum.us/bill/1533285/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBS-0539.htm,928,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,577,S.B. 577 (2011-2012 Regular Session): Occupations; Athletics; Unarmed Combat Regulatory Act; Provide for Confidentiality of Information and Make Other General Revisions. Amends Secs. 20 & 33 of 2004 Pa 403 (Mcl 338.3620 & 338.3633) & Adds Sec. 61a,Signed by the Governor,12/31/12,8/25/11,MI Sen. Joe Hune (R-MI22),,Republican,https://www.quorum.us/bill/1534026/,http://www.legislature.mi.gov/documents/2011-2012/billconcurred/Senate/htm/2011-SCB-0577.htm,1586,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,630,"S.B. 630 (2011-2012 Regular Session): Criminal Procedure; Probation; Retention and Release of Nonpublic Records of an Arrest, Diversion, Discharge, or Dismissal of Certain Controlled Substance Cases; Clarify. Amends Sec. 1076 of 1961 Pa 236 (Mcl 600.1076)",Signed by the Governor,12/31/12,9/9/11,MI Sen. Rick Jones (R-MI24),"MI Sen. John Proos (R-MI21), John Gleason, MI Sen. Steven Bieda (D-MI9), MI Sen. Tonya Schuitmaker (R-MI26), John Pappageorge, MI Sen. Jim Marleau (R-MI12)",Republican,https://www.quorum.us/bill/1534118/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBS-0630.htm,893,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,631,"S.B. 631 (2011-2012 Regular Session): Criminal Procedure; Probation; Procedures for Retention and Use of Nonpublic Record of Deferral for Crime of Taking or Retaining Child; Revise, and Limit Number of Deferral Opportunities. Amends Sec. 350a of 1931 Pa 328 (Mcl 750.350a)",Signed by the Governor,12/31/12,9/9/11,MI Sen. Tonya Schuitmaker (R-MI26),"MI Sen. Steven Bieda (D-MI9), MI Sen. Jim Marleau (R-MI12), John Pappageorge, MI Sen. Rick Jones (R-MI24), John Gleason, MI Sen. John Proos (R-MI21)",Republican,https://www.quorum.us/bill/1534198/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBS-0631.htm,580,,,
