id	registereddems	universe	percentageuniverse	musttreat	untreatable
"001-01"	86	42	0.488372093	0.0	1.0
"001-02"	290	142	0.489655172	1.0	0.0
"001-03"	359	140	0.389972145	0.0	0.0
"001-04"	470	239	0.508510638	0.0	0.0
"001-05"	285	141	0.494736842	0.0	0.0
"001-06"	444	171	0.385135135	0.0	0.0
"001-07"	308	148	0.480519481	1.0	0.0
"001-08"	333	106	0.318318318	0.0	0.0
"001-09"	388	191	0.492268041	0.0	0.0
"002-01"	480	216	0.45	0.0	0.0
"002-02"	244	77	0.31557377	0.0	0.0
"002-03"	206	70	0.339805825	0.0	0.0
"002-04"	369	92	0.249322493	0.0	0.0
"002-05"	305	80	0.262295082	0.0	0.0
"002-06"	260	97	0.373076923	0.0	0.0
"002-07"	4	3	0.75	0.0	1.0
"002-08"	280	153	0.546428571	0.0	0.0
"002-09"	349	99	0.283667622	0.0	0.0
"002-10"	279	108	0.387096774	0.0	0.0
"002-11"	0	0	0.0	0.0	1.0
"003-01"	362	134	0.370165746	1.0	0.0
"003-02"	24	6	0.25	0.0	1.0
"003-03"	26	9	0.346153846	0.0	1.0
"003-04"	307	95	0.309446254	0.0	0.0
"003-05"	9	2	0.222222222	0.0	1.0
"003-06"	402	115	0.286069652	1.0	0.0
"003-07"	469	221	0.471215352	1.0	0.0
"003-08"	388	129	0.332474227	1.0	0.0
"003-09"	366	113	0.308743169	1.0	0.0
"004-01"	823	258	0.313487242	0.0	0.0
"004-02"	164	62	0.37804878	0.0	0.0
"004-03"	346	136	0.393063584	1.0	0.0
"004-04"	645	314	0.486821705	1.0	0.0
"004-05"	106	45	0.424528302	0.0	1.0
"004-06"	335	181	0.540298507	1.0	0.0
"004-07"	0	0	0.0	0.0	1.0
"004-08"	0	0	0.0	0.0	1.0
"005-01"	275	107	0.389090909	1.0	0.0
"005-02"	108	41	0.37962963	0.0	1.0
"005-03"	423	163	0.38534279	1.0	0.0
"005-04"	405	123	0.303703704	1.0	0.0
"005-05"	400	149	0.3725	1.0	0.0
"005-06"	400	142	0.355	1.0	0.0
"005-07"	488	149	0.305327869	1.0	0.0
"006-01"	14	1	0.071428571	0.0	1.0
"006-02"	396	141	0.356060606	0.0	0.0
"006-03"	362	179	0.494475138	0.0	0.0
"006-04"	452	243	0.537610619	0.0	0.0
"006-05"	384	161	0.419270833	0.0	0.0
"006-06"	469	208	0.443496802	0.0	0.0
"006-07"	32	7	0.21875	0.0	1.0
"006-08"	9	4	0.444444444	0.0	1.0
"007-01"	236	161	0.68220339	0.0	0.0
"007-02"	20	14	0.7	0.0	1.0
"007-03"	349	187	0.535816619	0.0	0.0
"007-04"	401	138	0.344139651	0.0	0.0
"007-05"	420	194	0.461904762	0.0	0.0
"007-06"	381	147	0.385826772	0.0	0.0
"007-07"	127	51	0.401574803	0.0	1.0
"007-08"	260	143	0.55	0.0	0.0
"007-09"	55	24	0.436363636	0.0	1.0
"008-01"	301	230	0.764119601	0.0	0.0
"008-02"	462	310	0.670995671	0.0	0.0
"008-03"	220	130	0.590909091	0.0	0.0
"008-04"	556	353	0.634892086	0.0	0.0
