ward	dist	ed	kathy13	corey13	write13	jennings09	ellis09	goodbee05	jennings05
1	1	"001-01"	25	3	0	42	94	57	38
1	2	"001-02"	78	26	5	23	42	38	34
1	3	"001-03"	53	23	7	2	8	10	2
1	4	"001-04"	88	60	6	93	68	65	92
1	5	"001-05"	75	44	4	39	57	52	65
1	6	"001-06"	50	53	3	96	66	46	92
1	7	"001-07"	38	89	12	116	49	23	127
1	8	"001-08"	17	28	3	7	4	4	16
1	9	"001-09"	56	47	16	95	69	41	108
2	1	"002-01"	46	96	7	12	34	23	20
2	2	"002-02"	27	24	4	17	33	30	30
2	3	"002-03"	6	22	1	8	48	39	15
2	4	"002-04"	17	24	1	5	12	15	7
2	5	"002-05"	22	34	0	11	19	22	13
2	6	"002-06"	44	21	6	0	7	4	3
2	7	"002-07"	1	0	0	10	17	34	13
2	8	"002-08"	35	45	13	16	52	53	27
2	9	"002-09"	15	29	1	37	55	55	39
2	10	"002-10"	14	30	2	8	9	9	4
2	11	"002-11"	0	0	0	15	31	19	14
3	1	"003-01"	35	35	6	2	3	16	33
3	2	"003-02"	5	1	2	4	2	5	4
3	3	"003-03"	3	2	0	8	24	17	15
3	4	"003-04"	17	22	2	25	45	41	31
3	5	"003-05"	0	1	0	13	47	43	25
3	6	"003-06"	14	49	1	35	87	82	55
3	7	"003-07"	57	42	6	32	40	48	47
3	8	"003-08"	16	38	3	29	23	37	30
3	9	"003-09"	24	22	6	15	26	26	19
4	1	"004-01"	45	103	3	22	26	34	16
4	2	"004-02"	10	14	5	66	14	28	71
4	3	"004-03"	34	41	4	81	89	59	107
4	4	"004-04"	68	105	9	28	52	25	38
4	5	"004-05"	17	6	0	5	2	3	7
4	6	"004-06"	95	10	9	17	41	71	23
4	7	"004-07"	15	1	0	26	51	42	29
4	8	"004-08"	0	0	0	45	87	91	73
5	1	"005-01"	9	41	2	14	17	16	22
5	2	"005-02"	9	10	1	11	21	24	23
5	3	"005-03"	26	69	5	50	50	69	44
5	4	"005-04"	16	52	5	26	56	52	29
5	5	"005-05"	29	64	4	16	43	44	29
5	6	"005-06"	47	27	4	30	6	9	48
5	7	"005-07"	27	20	2	27	44	54	35
6	1	"006-01"	0	0	0	44	81	43	51
6	2	"006-02"	37	33	11	27	71	33	33
6	3	"006-03"	79	31	10	24	68	36	35
6	4	"006-04"	131	30	10	54	88	49	63
6	5	"006-05"	86	26	4	37	27	32	45
6	6	"006-06"	100	25	4	28	73	35	56
6	7	"006-07"	0	1	2	35	31	46	58
6	8	"006-08"	0	2	0	26	30	25	44
7	1	"007-01"	83	19	5	21	38	21	34
7	2	"007-02"	12	1	0	34	26	29	33
7	3	"007-03"	86	21	4	134	106	75	179
7	4	"007-04"	44	43	0	35	39	68	66
7	5	"007-05"	84	33	1	140	109	93	191
7	6	"007-06"	33	39	9	27	31	46	85
7	7	"007-07"	17	9	3	70	46	27	95
7	8	"007-08"	53	32	4	21	16	51	98
7	9	"007-09"	0	0	0	11	16	51	98
8	1	"008-01"	124	24	9	124	48	26	157
8	2	"008-02"	193	44	1	99	43	25	135
8	3	"008-03"	73	20	6	83	17	8	89
8	4	"008-04"	217	42	13	136	61	42	155
8	5	"008-05"	190	46	16	161	48	35	185
8	6	"008-06"	181	38	12	132	46	34	177
8	7	"008-07"	137	47	8	105	44	39	139
8	8	"008-08"	166	39	14	160	45	27	165
8	9	"008-09"	38	7	1	107	40	22	128
9	1	"009-01"	9	0	0	55	29	27	74
9	2	"009-02"	67	15	2	61	42	19	62
9	3	"009-03"	59	28	7	136	91	54	170
9	4	"009-04"	101	22	8	176	122	72	219
9	5	"009-05"	222	36	13	105	70	48	132
9	6	"009-06"	109	19	10	47	23	18	43
9	7	"009-07"	143	23	12	67	40	26	74
9	8	"009-08"	129	29	12	76	68	35	89
9	9	"009-09"	4	3	0	9	5	7	14
10	1	"010-01"	25	13	1	30	28	17	35
10	2	"010-02"	30	12	1	39	50	29	39
10	3	"010-03"	73	17	5	25	9	7	21
10	4	"010-04"	23	17	1	28	32	11	36
10	5	"010-05"	44	25	4	45	62	23	59
10	6	"010-06"	33	15	3	32	46	24	50
10	7	"010-07"	59	39	7	7	11	8	10
10	8	"010-08"	43	38	5	18	18	10	20
11	1	"011-01"	0	0	0	55	53	43	69
