precinct_id_2012	Precinct	Mitt.Romney..R..2012.Vote.Totals	Barack.Obama..D..2012.Vote.Totals	OTHER.2012.Vote.Totals	Votes.Cast.2012	Ken.T..Cuccinelli.II..R..Vote.Totals	Stephen.C..Shannon..D..Vote.Totals	Other.2009.Vote.Totals	Votes.Cast	cuccinelli_share	cuccinelli_margin	romney_share	romney_margin
202.0	"202 - FLINT HILL"	997.0	1058.0	23.0	2078.0	432.0	482.0	1.5	915.5	0.471873293282359	-51.5	0.479788257940327	-84.0
203.0	"203 - FLORIS"	1105.0	1407.0	26.0	2538.0	809.0	739.0	0.0	1548.0	0.522609819121447	70.0	0.43538219070134	-328.0
204.0	"204 - MADISON"	196.0	412.0	6.0	614.0	432.0	482.0	1.5	915.5	0.471873293282359	-51.5	0.319218241042345	-222.0
208.0	"208 - RESTON #1"	488.0	1396.0	31.0	1915.0	288.0	637.0	2.0	927.0	0.310679611650485	-351.0	0.254830287206266	-939.0
209.0	"209 - RESTON #2"	596.0	1462.0	37.0	2095.0	381.0	758.0	1.0	1140.0	0.334210526315789	-378.0	0.284486873508353	-903.0
213.0	"213 - VIENNA #1"	1111.0	1568.0	52.0	2731.0	700.0	1044.0	0.0	1744.0	0.401376146788991	-344.0	0.406810692054193	-509.0
214.0	"214 - VIENNA #2"	932.0	1221.0	28.0	2181.0	626.0	827.0	4.0	1457.0	0.42964996568291	-205.0	0.427326914259514	-317.0
216.0	"216 - VIENNA #4"	406.0	620.0	31.0	1057.0	239.0	406.0	0.0	645.0	0.370542635658915	-167.0	0.384105960264901	-245.0
218.0	"218 - VIENNA #6"	562.0	1003.0	18.0	1583.0	326.0	616.0	2.0	944.0	0.345338983050847	-292.0	0.355022109917877	-459.0
219.0	"219 - WESTBRIAR"	1033.0	1347.0	26.0	2406.0	717.0	727.0	0.0	1444.0	0.496537396121884	-10.0	0.429343308395677	-340.0
220.0	"220 - DOGWOOD"	747.0	1831.0	39.0	2617.0	485.0	837.0	1.0	1323.0	0.366591080876795	-353.0	0.285441345051586	-1123.0
221.0	"221 - HUNTERS WOODS"	712.0	1091.0	19.0	1822.0	558.0	830.0	2.0	1390.0	0.401438848920863	-274.0	0.390779363336992	-398.0
222.0	"222 - RESTON #3"	375.0	1075.0	26.0	1476.0	251.0	676.0	0.0	927.0	0.270765911542611	-425.0	0.254065040650407	-726.0
223.0	"223 - GLADE"	800.0	1724.0	50.0	2574.0	573.0	1033.0	2.0	1608.0	0.35634328358209	-462.0	0.310800310800311	-974.0
224.0	"224 - SOUTH LAKES"	961.0	1994.0	50.0	3005.0	623.0	1318.0	3.0	1944.0	0.320473251028807	-698.0	0.319800332778702	-1083.0
225.0	"225 - TERRASET"	680.0	1804.0	61.0	2545.0	422.0	877.0	0.0	1299.0	0.324865280985373	-455.0	0.267190569744597	-1185.0
226.0	"226 - WOLFTRAP"	1167.0	1260.0	19.0	2446.0	805.0	916.0	1.0	1722.0	0.467479674796748	-112.0	0.477105478331971	-112.0
227.0	"227 - SUNRISE VALLEY"	542.0	677.0	13.0	1232.0	400.0	487.0	3.0	890.0	0.449438202247191	-90.0	0.439935064935065	-148.0
229.0	"229 - FOX MILL"	1440.0	1717.0	46.0	3203.0	1036.0	955.0	2.0	1993.0	0.519819367787255	79.0	0.449578520137371	-323.0
233.0	"233 - NORTH POINT"	1318.0	1846.0	41.0	3205.0	838.0	958.0	2.0	1798.0	0.466073414905451	-122.0	0.411232449297972	-569.0
234.0	"234 - ALDRIN"	1318.0	1797.0	41.0	3156.0	831.0	1054.0	1.0	1886.0	0.440615058324496	-224.0	0.417617237008872	-520.0
235.0	"235 - FRYING PAN"	657.0	1312.0	28.0	1997.0	388.0	551.0	3.0	942.0	0.411889596602972	-166.0	0.328993490235353	-683.0
236.0	"236 - STUART"	337.0	569.0	12.0	918.0	259.0	310.0	2.0	571.0	0.453590192644483	-53.0	0.367102396514161	-244.0
237.0	"237 - MCNAIR"	778.0	1655.0	48.0	2481.0	370.0	498.0	0.0	868.0	0.426267281105991	-128.0	0.313583232567513	-925.0
238.0	"238 - CAMERON GLEN"	862.0	1056.0	31.0	1949.0	413.0	476.0	1.0	890.0	0.464044943820225	-64.0	0.442278091328887	-225.0
240.0	"240 - COLVIN"	898.0	688.0	24.0	1610.0	590.0	469.0	1.0	1060.0	0.556603773584906	120.0	0.55776397515528	186.0
301.0	"301 - CHAIN BRIDGE"	928.0	947.0	21.0	1896.0	682.0	724.0	3.0	1409.0	0.48403122782115	-45.0	0.489451476793249	-40.0
302.0	"302 - CHESTERBROOK"	705.0	770.0	19.0	1494.0	559.0	730.0	0.0	1289.0	0.43366951124903	-171.0	0.471887550200803	-84.0
303.0	"303 - CHURCHILL"	425.0	513.0	8.0	946.0	308.0	379.0	1.0	688.0	0.447674418604651	-72.0	0.449260042283298	-96.0
304.0	"304 - COOPER"	732.0	592.0	6.0	1330.0	538.0	445.0	1.0	984.0	0.546747967479675	92.0	0.550375939849624	134.0
305.0	"305 - EL NIDO"	543.0	748.0	22.0	1313.0	400.0	635.0	1.0	1036.0	0.386100386100386	-236.0	0.413556740289414	-227.0
