precinct	precinct_id	Sarvis	Cuccinelli	McAuliffe	writein	totals
"104 - CHAPEL"	104	68	504	684	5	1261
"105 - FAIRVIEW"	105	87	860	1170	12	2129
"106 - HERITAGE"	106	66	302	810		1178
"108 - KINGS PARK"	108	54	495	639	7	1195
"109 - LITTLE RUN"	109	93	659	916	5	1673
"110 - NORTH SPRINGFIELD"	110	96	652	944	5	1697
"113 - CANTERBURY"	113	115	814	1173	7	2109
"115 - RAVENSWORTH"	115	48	354	430	3	835
"116 - WAKEFIELD"	116	70	427	733	1	1231
"117 - WOODSON"	117	58	546	701	4	1309
"118 - LAKE BRADDOCK"	118	86	552	951	3	1592
"119 - LAUREL"	119	107	786	1045	9	1947
"120 - SIDEBURN"	120	90	822	803	4	1719
"121 - VILLA"	121	61	361	439	2	863
"123 - ROBINSON"	123	87	735	1002	10	1834
"125 - SIGNAL HILL"	125	94	588	880	5	1567
"126 - BONNIE BRAE"	126	59	366	593	5	1023
"127 - BURKE CENTRE"	127	93	677	975	3	1748
"128 - CARDINAL"	128	48	407	552	4	1011
"129 - KEENE MILL"	129	37	300	430	5	772
"130 - TERRA CENTRE"	130	53	442	649	4	1148
"131 - EAGLE VIEW"	131	75	515	731	5	1326
"132 - MONUMENT"	132	45	411	679		1135
"133 - DANBURY"	133	16	109	192	3	320
"134 - UNIVERSITY"	134	100	152	576	2	830
"202 - FLINT HILL"	202	76	650	829	9	1564
"203 - FLORIS"	203	100	662	1001	3	1766
"204 - MADISON"	204	16	112	232	3	363
"208 - RESTON #1"	208	50	260	768	3	1081
"209 - RESTON #2"	209	67	324	1018	5	1414
"213 - VIENNA #1"	213	122	670	1089	7	1888
"214 - VIENNA #2"	214	88	556	901	5	1550
"216 - VIENNA #4"	216	45	218	435	3	701
"218 - VIENNA #6"	218	51	332	680	6	1069
"219 - WESTBRIAR"	219	84	579	930	7	1600
"220 - DOGWOOD"	220	87	402	1053	2	1544
"221 - HUNTERS WOODS"	221	73	440	891	4	1408
"222 - RESTON #3"	222	42	206	786	2	1036
"223 - GLADE"	223	104	420	1061		1585
"224 - SOUTH LAKES"	224	115	519	1486	7	2127
"225 - TERRASET"	225	74	362	1016	2	1454
"226 - WOLFTRAP"	226	93	716	1015	3	1827
"227 - SUNRISE VALLEY"	227	59	325	530	3	917
"229 - FOX MILL"	229	146	915	1271	7	2339
"233 - NORTH POINT"	233	126	728	1204	5	2063
"234 - ALDRIN"	234	107	723	1296	3	2129
"235 - FRYING PAN"	235	68	294	719	3	1084
"236 - STUART"	236	44	212	375	2	633
"237 - MCNAIR"	237	54	302	655	3	1014
"238 - CAMERON GLEN"	238	61	421	640	5	1127
"240 - COLVIN"	240	68	521	517	6	1112
"301 - CHAIN BRIDGE"	301	74	551	767	5	1397
"302 - CHESTERBROOK"	302	74	475	719	8	1276
"303 - CHURCHILL"	303	56	261	415	3	735
"304 - COOPER"	304	60	441	470	5	976
"305 - EL NIDO"	305	60	350	678	4	1092
"306 - GREAT FALLS"	306	44	471	516	3	1034
