STATEFP10	COUNTYFP10	VTDST10	GEOID10	VTDI10	NAME10	NAMELSAD10	LSAD10	MTFCC10	FUNCSTAT10	ALAND10	AWATER10	INTPTLAT10	INTPTLON10	OID_	PA_GEO_ID	PA_VOTE_ID	VAP	STATEFP1_1	COUNTYFP_1	VTDST10_1	GEOID10_1	VTDI10_1	NAME10_1	NAMELSAD_1	LSAD10_1	MTFCC10_1	FUNCSTAT_1	ALAND10_1	AWATER10_1	INTPTLAT_1	INTPTLON_1	LOGRECNO	POP100	PA_AGG	FRACTION	PRECINCT_C	US_HOUSE_D	PA_SEN_DIS	PA_HOUSE_D	MUNI_TYPE	MUNI_NAME	BICOUNTY_C	MCD_CODE	FIPS_CODE	VTD_CODE	GOVDV2010	GOVRV2010	STHDV2010	STHRV2010	STSDV2010	STSRV2010	USCDV2010	USCRV2010	USSDV2010	USSRV2010	GOVP2010	STHP2010	STSP2010	USCP2010	USSP2010	ATTDV2008	ATTRV2008	AUDDV2008	AUDRV2008	STHDV2008	STHRV2008	STSDV2008	STSRV2008	TREDV2008	TRERV2008	USCDV2008	USCRV2008	USPDV2008	USPRV2008	ATTP2008	AUDP2008	STHP2008	STSP2008	TREP2008	USCP2008	USPP2008	GOVDV2006	GOVRV2006	STHDV2006	STHRV2006	STSDV2006	STSRV2006	USCDV2006	USCRV2006	USSDV2006	USSRV2006	GOVP2006	STHP2006	STSP2006	USCP2006	USSP2006	ATTDV2004	ATTRV2004	AUDDV2004	AUDRV2004	STHDV2004	STHRV2004	STSDV2004	STSRV2004	TREDV2004	TRERV2004	USCDV2004	USCRV2004	USPDV2004	USPRV2004	USSDV2004	USSRV2004	ATTP2004	AUDP2004	STHP2004	STSP2004	TREP2004	USCP2004	USPP2004	USSP2004	GOVDV2002	GOVRV2002	STHDV2002	STHRV2002	STSDV2002	STSRV2002	USCDV2002	USCRV2002	GOVP2002	STHP2002	STSP2002	USCP2002	ATTDV2000	ATTRV2000	AUDDV2000	AUDRV2000	STHDV2000	STHRV2000	STSDV2000	STSRV2000	TREDV2000	TRERV2000	USCDV2000	USCRV2000	USPDV2000	USPRV2000	USSDV2000	USSRV2000	ATTP2000	AUDP2000	STHP2000	STSP2000	TREP2000	USCP2000	USPP2000	USSP2000	AV	TURNOUT08	NDV	NRV	cantuse	Z_obs	condition_obs	res_prob_treated	res_prob_adj	res_prob_control
"42"	"041"	"227"	"42041227"	"A"	"HAMPDEN TWP PCT 03"	"HAMPDEN TWP PCT 03"	"00"	"G5240"	"N"	3054374	196975	"+40.2282943"	"-076.9484256"	3179	3168	3245	1426	42	41	"227"	"42041227"	"A"	"HAMPDEN TWP PCT 03"	"HAMPDEN TWP PCT 03"	"0"	"G5240"	"N"	3054374	196975	40.2282943726	-76.948425293	239215	1730	1426	1.0	227	19	31	87	4	"HAMPDEN"	0	30	41	"227"	266.0	567.0	239.0	582.0	0.0	0.0	214.0	568.0	309.0	522.0	0.319327741861	0.29110839963	0.0	0.273657292128	0.371841162443	282.0	784.0	426.0	605.0	326.0	744.0	268.0	804.0	435.0	611.0	330.0	751.0	461.0	633.0	0.264540344477	0.413191080093	0.304672896862	0.25	0.41586998105	0.305272907019	0.421389400959	349.0	506.0	255.0	604.0	0.0	0.0	269.0	580.0	396.0	470.0	0.408187121153	0.296856820583	0.0	0.31684333086	0.457274824381	368.0	740.0	350.0	724.0	413.0	669.0	221.0	830.0	554.0	538.0	0.0	868.0	391.0	749.0	281.0	746.0	0.332129955292	0.32588455081	0.381700545549	0.210275933146	0.507326006889	0.0	0.342982441187	0.273612469435	290.0	518.0	177.0	625.0	0.0	0.0	0.0	649.0	0.358910888433	0.22069825232	0.0	0.0	239.0	734.0	429.0	551.0	198.0	796.0	314.0	691.0	243.0	731.0	242.0	762.0	324.0	671.0	300.0	686.0	0.245632067323	0.43775510788	0.199195176363	0.312437802553	0.249486654997	0.241035863757	0.325628131628	0.304259628057	0.373350530863	1094.0	408.445495605	685.554504395	0	1.0	"treated"	0.2276	0.6826	0.0898
"42"	"041"	"233"	"42041233"	"A"	"HAMPDEN TWP PCT 04"	"HAMPDEN TWP PCT 04"	"00"	"G5240"	"N"	1219166	135844	"+40.2501581"	"-076.9479192"	3180	3169	3246	1276	42	41	"233"	"42041233"	"A"	"HAMPDEN TWP PCT 04"	"HAMPDEN TWP PCT 04"	"0"	"G5240"	"N"	1219166	135844	40.2501564026	-76.9479217529	239307	1567	1276	1.0	233	19	31	87	4	"HAMPDEN"	0	30	41	"233"	306.0	598.0	318.0	583.0	0.0	0.0	246.0	623.0	358.0	549.0	0.338495582342	0.352941185236	0.0	0.283084005117	0.39470782876	258.0	797.0	460.0	567.0	334.0	718.0	276.0	789.0	460.0	579.0	363.0	706.0	485.0	601.0	0.244549766183	0.447906523943	0.317490488291	0.25915491581	0.442733407021	0.339569687843	0.446593016386	404.0	487.0	310.0	576.0	0.0	0.0	304.0	561.0	462.0	430.0	0.453423112631	0.349887132645	0.0	0.35144507885	0.517937242985	384.0	693.0	390.0	645.0	470.0	630.0	223.0	840.0	588.0	484.0	0.0	870.0	458.0	665.0	279.0	737.0	0.356545954943	0.376811593771	0.427272737026	0.209783628583	0.548507452011	0.0	0.407836139202	0.274606287479	378.0	457.0	201.0	648.0	0.0	0.0	0.0	662.0	0.452694624662	0.236749112606	0.0	0.0	276.0	745.0	484.0	543.0	243.0	778.0	378.0	655.0	293.0	713.0	259.0	777.0	400.0	645.0	383.0	635.0	0.270323216915	0.471275568008	0.238001957536	0.365924477577	0.291252493858	0.25	0.382775127888	0.376227885485	0.403896450996	1086.0	438.631530762	647.368469238	0	0.0	"adjacent"	0.2227	0.5851	0.1922
"42"	"041"	"239"	"42041239"	"A"	"HAMPDEN TWP PCT 05"	"HAMPDEN TWP PCT 05"	"00"	"G5240"	"N"	2198951	69170	"+40.2504171"	"-076.9848086"	3181	3170	3247	1599	42	41	"239"	"42041239"	"A"	"HAMPDEN TWP PCT 05"	"HAMPDEN TWP PCT 05"	"0"	"G5240"	"N"	2198951	69170	40.250415802	-76.9848098755	239354	2169	1599	1.0	239	19	31	87	4	"HAMPDEN"	0	30	41	"239"	222.0	487.0	206.0	504.0	0.0	0.0	182.0	500.0	253.0	455.0	0.313117057085	0.290140837431	0.0	0.266862183809	0.35734462738	313.0	671.0	461.0	491.0	337.0	657.0	317.0	680.0	428.0	529.0	339.0	663.0	468.0	550.0	0.318089425564	0.484243690968	0.339034199715	0.317953854799	0.447230935097	0.338323354721	0.459724962711	304.0	354.0	241.0	417.0	0.0	0.0	236.0	405.0	320.0	339.0	0.462006092072	0.366261392832	0.0	0.368174731731	0.485584229231	289.0	619.0	312.0	571.0	335.0	582.0	226.0	664.0	468.0	424.0	0.0	727.0	337.0	600.0	243.0	601.0	0.318281948566	0.353340893984	0.365321695805	0.253932595253	0.524663686752	0.0	0.359658479691	0.287914693356	184.0	341.0	129.0	399.0	0.0	0.0	0.0	432.0	0.350476175547	0.244318187237	0.0	0.0	163.0	488.0	285.0	373.0	156.0	510.0	216.0	450.0	176.0	466.0	195.0	464.0	246.0	423.0	193.0	458.0	0.250384032726	0.433130711317	0.23423422873	0.324324309826	0.274143308401	0.295902878046	0.367713004351	0.296466976404	0.397784680128	1018.0	404.944793701	613.055175781	0	1.0	"treated"	0.2303	0.5704	0.1993
"42"	"041"	"245"	"42041245"	"A"	"HAMPDEN TWP PCT 06"	"HAMPDEN TWP PCT 06"	"00"	"G5240"	"N"	2292333	211677	"+40.2531908"	"-076.9983981"	3182	3171	3248	2133	42	41	"245"	"42041245"	"A"	"HAMPDEN TWP PCT 06"	"HAMPDEN TWP PCT 06"	"0"	"G5240"	"N"	2292333	211677	40.2531890869	-76.9983978272	239411	2819	2133	1.0	245	19	31	87	4	"HAMPDEN"	0	30	41	"245"	395.0	810.0	304.0	899.0	0.0	0.0	297.0	871.0	459.0	747.0	0.327800840139	0.252701580524	0.0	0.25428083539	0.380597025156	381.0	1129.0	646.0	819.0	449.0	1072.0	385.0	1148.0	654.0	833.0	457.0	1073.0	692.0	857.0	0.252317875624	0.440955638885	0.295200526714	0.251141548157	0.439811706543	0.298692822456	0.446739822626	542.0	631.0	378.0	795.0	0.0	0.0	359.0	796.0	556.0	616.0	0.462063074112	0.322250634432	0.0	0.31082251668	0.474402725697	499.0	953.0	507.0	895.0	557.0	891.0	279.0	1150.0	765.0	668.0	0.0	1199.0	585.0	912.0	361.0	1006.0	0.343663901091	0.361626237631	0.384668499231	0.195241421461	0.533845067024	0.0	0.3907815516	0.264081925154	443.0	604.0	232.0	829.0	0.0	0.0	0.0	864.0	0.423113644123	0.218661636114	0.0	0.0	358.0	975.0	603.0	737.0	282.0	1066.0	429.0	920.0	333.0	986.0	411.0	916.0	515.0	850.0	482.0	857.0	0.268567144871	0.449999988079	0.209198817611	0.318013340235	0.25246399641	0.309721171856	0.377289384603	0.359970122576	0.393745183945	1549.0	609.911315918	939.088684082	0	1.0	"treated"	0.2266	0.5618	0.2116
"42"	"041"	"251"	"42041251"	"P"	"HAMPDEN TWP PCT 07"	"HAMPDEN TWP PCT 07"	"00"	"G5240"	"S"	1427713	239649	"+40.2447023"	"-076.9491580"	3246	3172	3249	990	42	41	"251"	"42041251"	"P"	"HAMPDEN TWP PCT 07"	"HAMPDEN TWP PCT 07"	"0"	"G5240"	"S"	1427713	239649	40.2447013855	-76.9491577148	239473	1263	990	1.0	251	19	31	87	4	"HAMPDEN"	0	30	41	"251"	217.0	482.0	187.0	511.0	0.0	0.0	189.0	494.0	260.0	441.0	0.310443490744	0.26790830493	0.0	0.27672034502	0.370898723602	233.0	631.0	387.0	461.0	270.0	606.0	211.0	666.0	379.0	474.0	277.0	598.0	399.0	497.0	0.269675940275	0.456367939711	0.30821916461	0.240592926741	0.444314181805	0.316571414471	0.4453125	310.0	408.0	237.0	484.0	0.0	0.0	224.0	481.0	336.0	391.0	0.431754887104	0.328710138798	0.0	0.317730486393	0.462173312902	330.0	581.0	339.0	555.0	386.0	516.0	196.0	691.0	471.0	430.0	0.0	708.0	364.0	574.0	247.0	603.0	0.362239301205	0.379194617271	0.427937924862	0.220969557762	0.522752523422	0.0	0.388059705496	0.290588229895	261.0	357.0	130.0	494.0	0.0	0.0	0.0	504.0	0.422330111265	0.208333328366	0.0	0.0	207.0	616.0	374.0	449.0	184.0	659.0	283.0	561.0	209.0	596.0	222.0	625.0	316.0	538.0	282.0	548.0	0.251518845558	0.454434990883	0.218268096447	0.335308045149	0.259627342224	0.262101531029	0.370023429394	0.339759021997	0.394905805588	896.0	353.835601807	542.164428711	0	0.0	"adjacent"	0.2282	0.5118	0.26
"42"	"041"	"257"	"42041257"	"P"	"HAMPDEN TWP PCT 08"	"HAMPDEN TWP PCT 08"	"00"	"G5240"	"S"	876765	38184	"+40.2638716"	"-076.9683754"	3247	3173	3250	837	42	41	"257"	"42041257"	"P"	"HAMPDEN TWP PCT 08"	"HAMPDEN TWP PCT 08"	"0"	"G5240"	"S"	876765	38184	40.2638702393	-76.9683761597	239514	1078	837	1.0	257	19	31	87	4	"HAMPDEN"	0	30	41	"257"	149.0	350.0	130.0	367.0	0.0	0.0	115.0	371.0	173.0	329.0	0.298597186804	0.261569410563	0.0	0.236625507474	0.344621509314	154.0	477.0	264.0	347.0	188.0	445.0	142.0	502.0	242.0	374.0	162.0	479.0	261.0	384.0	0.244057059288	0.432078570127	0.296998411417	0.220496892929	0.392857134342	0.252730101347	0.404651165009	210.0	279.0	160.0	323.0	0.0	0.0	145.0	335.0	230.0	258.0	0.429447859526	0.331262946129	0.0	0.302083343267	0.471311479807	186.0	404.0	199.0	373.0	207.0	362.0	107.0	456.0	310.0	276.0	0.0	477.0	208.0	394.0	152.0	391.0	0.315254241228	0.347902089357	0.363796144724	0.190053284168	0.529010236263	0.0	0.345514953136	0.279926329851	179.0	247.0	75.0	349.0	0.0	0.0	0.0	339.0	0.420187801123	0.176886796951	0.0	0.0	132.0	387.0	239.0	288.0	92.0	435.0	154.0	374.0	127.0	396.0	134.0	399.0	181.0	351.0	178.0	346.0	0.254335254431	0.453510433435	0.174573048949	0.291666656733	0.242829829454	0.251407116652	0.340225577354	0.339694648981	0.371940761805	645.0	239.901794434	405.098205566	0	0.0	"adjacent"	0.2208	0.517	0.2622
"42"	"041"	"263"	"42041263"	"P"	"HAMPDEN TWP PCT 09"	"HAMPDEN TWP PCT 09"	"00"	"G5240"	"S"	2051868	222762	"+40.2540190"	"-076.9728093"	3248	3174	3251	1360	42	41	"263"	"42041263"	"P"	"HAMPDEN TWP PCT 09"	"HAMPDEN TWP PCT 09"	"0"	"G5240"	"S"	2051868	222762	40.2540206909	-76.9728088379	239548	1730	1360	1.0	263	19	31	87	4	"HAMPDEN"	0	30	41	"263"	232.0	615.0	189.0	653.0	0.0	0.0	174.0	650.0	263.0	583.0	0.273907899857	0.224465563893	0.0	0.211165055633	0.310874700546	244.0	811.0	438.0	591.0	291.0	780.0	242.0	833.0	423.0	611.0	292.0	784.0	423.0	665.0	0.231279626489	0.425655990839	0.271708697081	0.225116282701	0.409090906382	0.271375477314	0.388786762953	314.0	535.0	259.0	589.0	0.0	0.0	244.0	586.0	372.0	479.0	0.369846880436	0.305424541235	0.0	0.293975889683	0.437132775784	309.0	696.0	321.0	662.0	339.0	674.0	171.0	839.0	514.0	490.0	0.0	862.0	350.0	695.0	218.0	729.0	0.307462692261	0.326551377773	0.334649562836	0.16930693388	0.511952161789	0.0	0.334928244352	0.230200633407	244.0	421.0	134.0	532.0	0.0	0.0	0.0	562.0	0.366917282343	0.201201200485	0.0	0.0	178.0	662.0	384.0	454.0	168.0	686.0	261.0	590.0	192.0	619.0	186.0	671.0	283.0	572.0	266.0	577.0	0.211904764175	0.458233892918	0.196721315384	0.306697994471	0.236744761467	0.217036172748	0.330994158983	0.315539747477	0.35059005022	1088.0	381.441986084	706.558044434	0	0.0	"adjacent"	0.2248	0.5686	0.2066
"42"	"041"	"269"	"42041269"	"P"	"HAMPDEN TWP PCT 10"	"HAMPDEN TWP PCT 10"	"00"	"G5240"	"S"	5843277	141934	"+40.2655850"	"-076.9918430"	3249	3175	3252	3274	42	41	"269"	"42041269"	"P"	"HAMPDEN TWP PCT 10"	"HAMPDEN TWP PCT 10"	"0"	"G5240"	"S"	5843277	141934	40.265586853	-76.9918441773	239607	4403	3274	1.0	269	19	31	87	4	"HAMPDEN"	0	30	41	"269"	480.0	1322.0	433.0	1360.0	0.0	0.0	360.0	1374.0	555.0	1247.0	0.266370713711	0.241494700313	0.0	0.207612454891	0.307991117239	545.0	1760.0	928.0	1296.0	684.0	1638.0	578.0	1763.0	931.0	1338.0	629.0	1712.0	972.0	1400.0	0.236442521214	0.417266190052	0.294573634863	0.246903032064	0.410312920809	0.268688589334	0.40978077054	594.0	996.0	454.0	1131.0	0.0	0.0	425.0	1145.0	679.0	916.0	0.373584896326	0.286435335875	0.0	0.270700633526	0.425705343485	538.0	1438.0	586.0	1329.0	680.0	1290.0	325.0	1614.0	1001.0	977.0	0.0	1701.0	642.0	1418.0	451.0	1404.0	0.272267192602	0.306005209684	0.345177650452	0.167612165213	0.506066739559	0.0	0.3116504848	0.243126690388	391.0	763.0	188.0	987.0	0.0	0.0	0.0	997.0	0.33882150054	0.159999996424	0.0	0.0	314.0	1113.0	664.0	782.0	249.0	1204.0	366.0	1090.0	338.0	1078.0	314.0	1151.0	453.0	1016.0	392.0	1039.0	0.220042049885	0.459197789431	0.171369582415	0.251373618841	0.238700568676	0.214334473014	0.308373034	0.273934304714	0.345120817423	2372.0	818.626586914	1553.37341309	0	0.0	"adjacent"	0.2166	0.5888	0.1946
"42"	"041"	"275"	"42041275"	"P"	"HAMPDEN TWP PCT 11"	"HAMPDEN TWP PCT 11"	"00"	"G5240"	"S"	5694565	17348	"+40.2799045"	"-076.9647815"	3250	3176	3253	3563	42	41	"275"	"42041275"	"P"	"HAMPDEN TWP PCT 11"	"HAMPDEN TWP PCT 11"	"0"	"G5240"	"S"	5694565	17348	40.2799034119	-76.9647827148	239707	4703	3563	1.0	275	19	31	87	4	"HAMPDEN"	0	30	41	"275"	528.0	1285.0	475.0	1323.0	0.0	0.0	414.0	1328.0	613.0	1201.0	0.291229993105	0.264182418585	0.0	0.237657859921	0.337927222252	610.0	1684.0	954.0	1276.0	706.0	1608.0	601.0	1731.0	914.0	1345.0	687.0	1643.0	990.0	1358.0	0.265911072493	0.427802681923	0.305099397898	0.257718682289	0.404603809118	0.294849783182	0.42163541913	692.0	977.0	520.0	1130.0	0.0	0.0	506.0	1138.0	760.0	899.0	0.414619535208	0.315151512623	0.0	0.307785898447	0.458107292652	651.0	1484.0	679.0	1383.0	740.0	1397.0	424.0	1680.0	1096.0	1031.0	0.0	1810.0	779.0	1448.0	495.0	1522.0	0.304918020964	0.329291939735	0.346279829741	0.2015209198	0.515279710293	0.0	0.349797934294	0.245413973928	537.0	822.0	276.0	1093.0	0.0	0.0	0.0	1131.0	0.395143479109	0.201607018709	0.0	0.0	378.0	1297.0	747.0	932.0	373.0	1332.0	528.0	1177.0	406.0	1251.0	454.0	1258.0	605.0	1112.0	526.0	1158.0	0.225671648979	0.444907695055	0.218768328428	0.309677422047	0.245021119714	0.265186905861	0.35235875845	0.312351554632	0.366656810045	2348.0	860.910217285	1487.08984375	0	0.0	"control"	0.2298	0.6617	0.1085
"42"	"041"	"281"	"42041281"	"A"	"HAMPDEN TWP PCT 12"	"HAMPDEN TWP PCT 12"	"00"	"G5240"	"N"	9887652	43045	"+40.2936012"	"-076.9970974"	3183	3177	3254	1810	42	41	"281"	"42041281"	"A"	"HAMPDEN TWP PCT 12"	"HAMPDEN TWP PCT 12"	"0"	"G5240"	"N"	9887652	43045	40.2936019897	-76.9971008301	239807	2650	1810	1.0	281	19	31	87	4	"HAMPDEN"	0	30	41	"281"	240.0	754.0	196.0	792.0	0.0	0.0	176.0	778.0	269.0	724.0	0.241448685527	0.198380559683	0.0	0.184486374259	0.270896285772	249.0	986.0	433.0	773.0	287.0	973.0	250.0	1009.0	405.0	820.0	285.0	972.0	440.0	833.0	0.201619431376	0.35903814435	0.227777779102	0.198570296168	0.330612242222	0.226730316877	0.345640212297	281.0	527.0	202.0	613.0	0.0	0.0	183.0	617.0	303.0	508.0	0.347772270441	0.247852757573	0.0	0.228750005364	0.373612821102	276.0	689.0	269.0	676.0	276.0	667.0	182.0	748.0	454.0	509.0	0.0	807.0	300.0	704.0	223.0	681.0	0.286010354757	0.284656077623	0.292682915926	0.195698931813	0.471443414688	0.0	0.298804789782	0.246681421995	208.0	382.0	99.0	495.0	0.0	0.0	0.0	500.0	0.352542370558	0.166666671634	0.0	0.0	148.0	563.0	309.0	411.0	157.0	572.0	196.0	533.0	167.0	543.0	162.0	578.0	227.0	501.0	195.0	528.0	0.208157524467	0.429166674614	0.215363517404	0.268861442804	0.235211268067	0.218918919563	0.311813175678	0.269709557295	0.312172025442	1273.0	397.394989014	875.605041504	0	0.0	"control"	0.2271	0.425	0.3479
