NAME10	cantuse
"HAMPDEN TWP PCT 03"	0
"HAMPDEN TWP PCT 04"	0
"HAMPDEN TWP PCT 05"	0
"HAMPDEN TWP PCT 06"	0
"HAMPDEN TWP PCT 07"	0
"HAMPDEN TWP PCT 08"	0
"HAMPDEN TWP PCT 09"	0
"HAMPDEN TWP PCT 10"	0
"HAMPDEN TWP PCT 11"	0
"HAMPDEN TWP PCT 12"	0
"HOPEWELL TWP Voting District"	0
"LEMOYNE PCT 01"	1
"LEMOYNE PCT 02"	1
"LEMOYNE PCT 03"	0
"LEMOYNE PCT 04"	1
"LOWER ALLEN ANNEX Voting District"	1
"LOWER ALLEN TWP PCT 01"	0
"LOWER ALLEN TWP PCT 02"	0
"LOWER ALLEN TWP PCT 03"	0
"LOWER ALLEN TWP PCT 04"	0
"LOWER ALLEN TWP PCT 05"	0
"LOWER ALLEN TWP PCT 06"	0
"LOWER FRANKFORD TWP Voting District"	1
"LOWER MIFFLIN TWP Voting District"	0
"MECHANICSBURG WD 01"	0
"MECHANICSBURG WD 02 PCT 01"	0
"MECHANICSBURG WD 02 PCT 02"	0
"MECHANICSBURG WD 03"	0
"MECHANICSBURG WD 04"	0
"MECHANICSBURG WD 05"	0
"MIDDLESEX TWP PCT 1"	0
"MIDDLESEX TWP PCT 2"	0
"MONROE TWP VTD 01"	0
"MONROE TWP VTD 02"	0
"MT. HOLLY SPRINGS Voting District"	0
"NEW CUMBERLAND WD 01 PCT 01"	0
"NEW CUMBERLAND WD 02 PCT 01"	0
"NEW CUMBERLAND WD 02 PCT 02"	0
"NEW CUMBERLAND WD 02 PCT 03"	0
"NEWBURG Voting District"	0
"NEWVILLE WD NORTH"	0
"NEWVILLE WD SOUTH"	0
"NORTH MIDDLETON TWP PCT 01"	0
"NORTH MIDDLETON TWP PCT 02"	0
"NORTH MIDDLETON TWP PCT 03"	0
"NORTH NEWTON TWP Voting District"	0
"PENN TWP Voting District"	0
"SHIPPENSBURG WD EAST"	1
"SHIPPENSBURG WD MIDDLE"	1
"SHIREMANSTOWN Voting District"	0
"SILVER SPRING TWP PCT 01 ED NORTH"	0
"SILVER SPRING TWP PCT 01 ED SOUTH"	0
"SILVER SPRING TWP PCT 02"	0
"SOUTH MIDDLETON TWP PCT 01"	0
"SOUTH MIDDLETON TWP PCT 02"	0
"SOUTH MIDDLETON TWP PCT 03"	0
"SOUTH MIDDLETON TWP PCT UPPER"	0
"SOUTH NEWTON TWP Voting District"	0
"SOUTHAMPTON TWP PCT LOWER"	0
"SOUTHAMPTON TWP VTD UPPER PCT 01"	0
"SOUTHAMPTON TWP VTD UPPER PCT 02"	0
"UPPER ALLEN TWP PCT 01"	0
"UPPER ALLEN TWP PCT 02"	1
"UPPER ALLEN TWP PCT 03"	0
"UPPER ALLEN TWP PCT 04"	0
"UPPER ALLEN TWP PCT 05"	0
"UPPER ALLEN TWP PCT 06"	0
"UPPER ALLEN TWP PCT 07"	0
"UPPER ALLEN TWP PCT 08"	0
"UPPER ALLEN TWP PCT 09"	0
"UPPER ALLEN TWP PCT 10"	0
"UPPER FRANKFORD TWP Voting District"	0
"UPPER MIFFLIN TWP Voting District"	0
"WEST PENNSBORO TWP PCT LOWER"	0
"WEST PENNSBORO TWP PCT UPPER"	0
"WORMLEYSBURG PCT 01"	0
"WORMLEYSBURG PCT 02"	0
"SHIPPENSBURG TWP"	0
"CAMP HILL PCT 01"	0
"CAMP HILL PCT 02"	0
"CAMP HILL PCT 03"	0
"CAMP HILL PCT 04"	0
"CAMP HILL PCT 05"	0
"CARLISLE WD 01 PCT 01"	1
"CARLISLE WD 01 PCT 02"	1
"CARLISLE WD 02"	1
"CARLISLE WD 03 PCT 01"	1
"CARLISLE WD 03 PCT 02"	1
"CARLISLE WD 03 PCT 03"	1
"CARLISLE WD 04 PCT 01"	1
"CARLISLE WD 04 PCT 02"	1
"CARLISLE WD 05"	0
"COOKE TWP Voting District"	0
"DICKINSON TWP PCT NORTH"	0
"DICKINSON TWP PCT SOUTH"	0
"EAST PENNSBORO TWP PCT 01"	0
"EAST PENNSBORO TWP PCT 02"	1
"EAST PENNSBORO TWP PCT 03"	0
"EAST PENNSBORO TWP PCT 04"	0
"EAST PENNSBORO TWP PCT 05"	0
"EAST PENNSBORO TWP PCT 06"	0
"EAST PENNSBORO TWP PCT 07"	0
"EAST PENNSBORO TWP PCT 08"	0
"EAST PENNSBORO TWP PCT 09"	1
"EAST PENNSBORO TWP PCT 10"	1
"HAMPDEN TWP PCT 01"	0
"HAMPDEN TWP PCT 02"	0
