fid	selected	turnout_cov	margin_cov	share_cov	turnout	margin	share	totalpvotes08	totalcvotes06	totalcvotes08	totalcvotes10	totalcvotes12	npvote08	nvote06	nvote08	nvote10	npvote12	nvote12	pvote12	pvote08	dvote06	dvote08	dvote10	dvote12	study	include	probs.1.1	probs.1.0	probs.0.1	probs.0.0	condition_factor	i	weights	condition	numberofspillovers	treatable	Z.obs
0	0	351	-32	0.450617283950617	546	-93	0.404517453798768	560	372	544	351	546	18	-80	-100	-32	19	-93	0.501851851851852	0.516071428571429	0.377300613496933	0.385844748858447	0.450617283950617	0.404517453798768	"Experiment 1"	1.0	0.0	0.2087	0.7353	0.056	"Adjacent"	93	1.35998912008704	3.0	2.0	1.0	0.0
1	0	371	-34	0.451428571428571	525	-126	0.371428571428571	507	370	492	371	525	11	-83	-99	-34	-2	-126	0.488549618320611	0.510848126232742	0.384401114206128	0.386206896551724	0.451428571428571	0.371428571428571	"Experiment 1"	1.0	0.0	0.1577	0.8261	0.0162	"Adjacent"	93	1.21050720251786	3.0	2.0	1.0	0.0
2	0	270	-55	0.391304347826087	354	-117	0.321100917431193	411	333	392	270	354	-65	-56	-37	-55	-63	-117	0.405633802816901	0.420924574209246	0.408496732026144	0.446991404011461	0.391304347826087	0.321100917431193	"Experiment 1"	1.0	0.0	0.2161	0.7603	0.0236	"Adjacent"	93	1.31527028804419	3.0	1.0	1.0	0.0
3	0	538	-93	0.409708737864078	790	-165	0.386206896551724	810	540	787	538	790	-72	-136	-188	-93	-63	-165	0.448979591836735	0.455555555555556	0.368217054263566	0.364942528735632	0.409708737864078	0.386206896551724	"Experiment 1"	1.0	0.0	0.1663	0.8202	0.0135	"Adjacent"	93	1.21921482565228	3.0	3.0	1.0	0.0
4	0	201	-22	0.441489361702128	306	-106	0.312056737588652	288	204	277	201	306	-68	-70	-108	-22	-71	-106	0.372937293729373	0.381944444444444	0.315789473684211	0.276859504132231	0.441489361702128	0.312056737588652	"Experiment 1"	1.0	0.0	0.313	0.6129	0.0741	"Adjacent"	93	1.63158753467124	3.0	2.0	1.0	0.0
5	0	165	-17	0.443708609271523	281	-57	0.38996138996139	274	174	253	165	281	-2	-63	-54	-17	-13	-57	0.464285714285714	0.496350364963504	0.313609467455621	0.381578947368421	0.443708609271523	0.38996138996139	"Experiment 1"	1.0	0.0	0.3116	0.6224	0.066	"Adjacent"	93	1.60668380462725	3.0	2.0	1.0	0.0
6	0	375	25	0.534626038781163	592	-19	0.483304042179262	609	390	587	375	592	51	-32	-44	25	38	-19	0.520408163265306	0.541871921182266	0.457894736842105	0.459409594095941	0.534626038781163	0.483304042179262	"Experiment 1"	1.0	0.0	0.1837	0.7803	0.036	"Adjacent"	93	1.28155837498398	3.0	2.0	1.0	0.0
7	0	291	32	0.558394160583942	430	-28	0.463917525773196	470	359	455	291	430	82	-42	62	32	78	-28	0.578454332552693	0.587234042553191	0.434782608695652	0.5775	0.558394160583942	0.463917525773196	"Experiment 1"	1.0	0.0	0.292	0.5605	0.1475	"Control"	93	6.77966101694915	4.0	0.0	1.0	0.0
8	0	201	-41	0.391534391534392	281	-58	0.389312977099237	296	161	286	201	281	-46	-56	-94	-41	-26	-58	0.440860215053763	0.422297297297297	0.329268292682927	0.320610687022901	0.391534391534392	0.389312977099237	"Experiment 1"	1.0	0.0	0.231	0.7341	0.0349	"Adjacent"	93	1.36221223266585	3.0	2.0	1.0	0.0
9	0	317	-13	0.477031802120141	457	-50	0.439613526570048	525	365	492	317	457	1	-56	10	-13	43	-50	0.542035398230089	0.500952380952381	0.42	0.511574074074074	0.477031802120141	0.439613526570048	"Experiment 1"	1.0	0.0	0.2665	0.6907	0.0428	"Adjacent"	93	1.44780657304184	3.0	2.0	1.0	0.0
10	0	504	-84	0.411016949152542	707	-162	0.373040752351097	778	542	750	504	707	4	-178	-96	-84	-47	-162	0.456490727532097	0.502570694087404	0.325490196078431	0.425925925925926	0.411016949152542	0.373040752351097	"Experiment 1"	1.0	0.0	0.2187	0.6205	0.1608	"Adjacent"	93	1.6116035455278	3.0	1.0	1.0	0.0
11	1	181	-9	0.473372781065089	248	5	0.511627906976744	288	221	280	181	248	-14	-21	-37	-9	21	5	0.532258064516129	0.475694444444444	0.447761194029851	0.419213973799127	0.473372781065089	0.511627906976744	"Experiment 1"	0.0	0.0	0.0	0.516	0.484	"Control"	93	2.06611570247934	4.0	0.0	0.0	0.0
12	1	204	-10	0.473118279569892	329	-80	0.365771812080537	323	232	320	204	329	-7	-58	71	-10	-46	-80	0.421052631578947	0.489164086687306	0.360576923076923	0.622837370242215	0.473118279569892	0.365771812080537	"Experiment 1"	1.0	0.0	0.2743	0.6815	0.0442	"Treated"	93	3.64564345607	2.0	0.0	1.0	1.0
13	0	350	-61	0.407294832826748	510	-111	0.380129589632829	517	372	486	350	510	-59	-119	-151	-61	-72	-111	0.411530815109344	0.44294003868472	0.338753387533875	0.331096196868009	0.407294832826748	0.380129589632829	"Experiment 1"	1.0	0.0	0.2307	0.7359	0.0334	"Adjacent"	93	1.3588802826471	3.0	2.0	1.0	0.0
14	1	330	23	0.537953795379538	500	-21	0.47741935483871	586	424	565	330	500	56	-33	33	23	71	-21	0.56312625250501	0.54778156996587	0.455284552845528	0.534446764091858	0.537953795379538	0.47741935483871	"Experiment 1"	1.0	0.0	0.2819	0.3964	0.3217	"Treated"	93	3.54735721887194	2.0	0.0	1.0	1.0
15	0	294	-47	0.415162454873646	494	-121	0.368191721132898	489	292	449	294	494	-3	-63	-74	-47	7	-121	0.498973305954825	0.496932515337423	0.385454545454545	0.409313725490196	0.415162454873646	0.368191721132898	"Experiment 1"	1.0	0.0	0.1868	0.7074	0.1058	"Adjacent"	93	1.41362736782584	3.0	1.0	1.0	0.0
16	0	323	-22	0.464285714285714	497	-140	0.34375	514	365	481	323	497	-6	-95	-94	-22	-41	-140	0.453629032258065	0.494163424124514	0.36231884057971	0.386473429951691	0.464285714285714	0.34375	"Experiment 1"	1.0	0.0	0.2066	0.7853	0.0081	"Adjacent"	93	1.27339870113332	3.0	2.0	1.0	0.0
17	0	362	17	0.525993883792049	560	-6	0.494047619047619	571	388	554	362	560	39	-64	-47	17	72	-6	0.553539019963702	0.53415061295972	0.411602209944751	0.450939457202505	0.525993883792049	0.494047619047619	"Experiment 1"	1.0	0.0	0.2383	0.6993	0.0624	"Adjacent"	93	1.43000143000143	3.0	2.0	1.0	0.0
18	0	345	5	0.507598784194529	491	-61	0.432671081677704	509	375	483	345	491	51	-40	18	5	11	-61	0.497942386831276	0.550098231827112	0.441860465116279	0.52093023255814	0.507598784194529	0.432671081677704	"Experiment 1"	1.0	0.0	0.2218	0.4904	0.2878	"Adjacent"	93	2.03915171288744	3.0	1.0	1.0	0.0
19	0	220	-16	0.461165048543689	348	-42	0.433962264150943	359	273	340	220	348	-23	-53	-65	-16	-20	-42	0.447976878612717	0.467966573816156	0.399239543726236	0.39344262295082	0.461165048543689	0.433962264150943	"Experiment 1"	1.0	0.0	0.2421	0.7209	0.037	"Adjacent"	93	1.38715494520738	3.0	1.0	1.0	0.0
20	1	389	-70	0.405405405405405	598	-142	0.37043795620438	602	448	577	389	598	-68	-112	-119	-70	-55	-142	0.440878378378378	0.443521594684385	0.367298578199052	0.374736842105263	0.405405405405405	0.37043795620438	"Experiment 1"	1.0	0.0	0.1773	0.7961	0.0266	"Treated"	93	5.64015792442188	2.0	0.0	1.0	1.0
21	1	348	-44	0.432926829268293	503	-64	0.433054393305439	510	391	483	348	503	-10	-61	-113	-44	-9	-64	0.481037924151697	0.490196078431373	0.420365535248042	0.36768149882904	0.432926829268293	0.433054393305439	"Experiment 1"	1.0	0.0	0.3119	0.6006	0.0875	"Treated"	93	3.20615581917281	2.0	0.0	1.0	1.0
22	1	467	-19	0.478747203579418	686	-114	0.412307692307692	673	513	643	467	686	-7	-102	-115	-19	-56	-114	0.450807635829662	0.49479940564636	0.397177419354839	0.403685092127303	0.478747203579418	0.412307692307692	"Experiment 1"	1.0	0.0	0.2974	0.6328	0.0698	"Treated"	93	3.36247478143914	2.0	0.0	1.0	1.0
23	0	622	-91	0.423529411764706	813	-185	0.3778071334214	838	629	811	622	813	-8	-123	-212	-91	-183	-185	0.361189801699717	0.495226730310263	0.402843601895735	0.35978835978836	0.423529411764706	0.3778071334214	"Experiment 1"	1.0	0.0	0.3622	0.5459	0.0919	"Adjacent"	93	1.83183733284484	3.0	1.0	1.0	0.0
24	0	203	-48	0.369565217391304	297	-90	0.33695652173913	322	224	305	203	297	-18	-75	-32	-48	-22	-90	0.457627118644068	0.472049689440994	0.323943661971831	0.43984962406015	0.369565217391304	0.33695652173913	"Experiment 1"	1.0	0.0	0.1817	0.7698	0.0485	"Adjacent"	93	1.2990387113536	3.0	1.0	1.0	0.0
25	0	246	-9	0.480851063829787	346	-37	0.442006269592476	367	281	361	246	346	15	-38	-42	-9	20	-37	0.523391812865497	0.520435967302452	0.426923076923077	0.431818181818182	0.480851063829787	0.442006269592476	"Experiment 1"	1.0	0.0	0.2088	0.7069	0.0843	"Adjacent"	93	1.41462724572075	3.0	1.0	1.0	0.0
26	0	249	-30	0.434210526315789	392	-106	0.348571428571429	397	283	372	249	392	-55	-103	61	-30	-67	-106	0.396907216494845	0.430730478589421	0.304182509505703	0.593272171253823	0.434210526315789	0.348571428571429	"Experiment 1"	1.0	0.0	0.2586	0.7116	0.0298	"Adjacent"	93	1.4052838673412	3.0	2.0	1.0	0.0
27	0	397	37	0.548556430446194	568	-34	0.468283582089552	575	453	572	397	568	137	-41	-46	37	116	-34	0.590106007067138	0.619130434782609	0.452436194895592	0.455769230769231	0.548556430446194	0.468283582089552	"Experiment 1"	1.0	0.0	0.3065	0.5169	0.1766	"Adjacent"	93	1.93461017604953	3.0	1.0	1.0	0.0
28	0	605	-69	0.43979057591623	885	-137	0.414267834793492	902	546	868	605	885	-26	-188	-184	-69	37	-137	0.511891279728199	0.485587583148559	0.315686274509804	0.383248730964467	0.43979057591623	0.414267834793492	"Experiment 1"	1.0	0.0	0.2081	0.6614	0.1305	"Adjacent"	93	1.51194436044754	3.0	2.0	1.0	0.0
29	0	360	5	0.50733137829912	484	-53	0.441241685144124	490	373	482	360	484	68	-58	-40	5	36	-53	0.527310924369748	0.569387755102041	0.418539325842697	0.451219512195122	0.50733137829912	0.441241685144124	"Experiment 1"	1.0	0.0	0.2647	0.6279	0.1074	"Control"	93	9.31098696461825	4.0	0.0	1.0	0.0
30	1	261	25	0.551020408163265	386	-49	0.431754874651811	421	324	406	261	386	31	-56	-55	25	49	-49	0.551181102362205	0.536817102137767	0.403448275862069	0.422096317280453	0.551020408163265	0.431754874651811	"Experiment 1"	1.0	0.0	0.2501	0.6818	0.0681	"Treated"	93	3.9984006397441	2.0	0.0	1.0	1.0
