Appropriations,"Saavedra, Henry Kiki "," Varela, Luciano ""Lucky"" "," Deputy Picraux, Danice "," Begaye, Ray "," Berry, Richard J. "," Bratton, Donald E. "," Gutierrez, Joni Marie "," Heaton, John A. "," King, Rhonda S. "," Larranaga, Larry A. "," Lujan, Antonio "," Lundstrom, Patricia A. "," McCoy, Kathy A. "," Moore, Brian K. "," Salazar, Nick L. "," Tripp, Don L. "," Wallace, Jeannette O. "," Wirth, Peter ", ,,
Agriculture,"Nunez, Andy "," Begaye, Ray "," Cervantes, Joseph "," Hall, Jimmie C. "," Irwin, Dona G. "," Larranaga, Larry A. "," Tripp, Don L. ", ,,,,,,,,,,,,,
Business,"Rodella, Debbie A. "," Hanosh, George J. "," Barreras, Andrew J. "," Campos, Jose A. "," Fox-Young, Justine "," Garcia, Thomas A. "," Gardner, Keith J. "," Irwin, Dona G. "," Pena, John","Powdrell-Culbert, Jane E. "," Taylor, Thomas C. "," Trujillo, Jim R. "," Vaughn, Gloria C. ", ,,,,,,
Consumer_Public_Affairs,"Chasey, Gail "," Maestas, Antonio ""Moe"" "," Anderson, Thomas A. "," Espinoza, Nora "," Miera, Rick "," Park, Al "," Williams, W. C. ""Dub"" ", ,,,,,,,,,,,,,
Education,"Miera, Rick "," Swisstack, Thomas E. "," Barreras, Andrew J. "," Espinoza, Nora "," Garcia, Mary Helen "," Garcia, Thomas A. "," Hall, Jimmie C. "," Hamilton, Dianne Miller "," King, Rhonda S. "," Williams Stapleton, Sheryl "," Williams, W. C. ""Dub"" "," Zanetti, Teresa A. ", ,,,,,,,,
Energy,"Madalena, James Roger "," Trujillo, Jim R. "," Anderson, Thomas A. "," Bandy, Paul C. "," Bratton, Donald E. "," spence ezzell, candy "," Garcia, Miguel P. "," Gray, William J. "," Gutierrez, Joni Marie "," Lujan, Antonio "," Pena, John "," Steinborn, Jeff "," Strickler, James R.J. "," Wirth, Peter ", ,,,,,,
Health_government_affairs,"Stewart, Mimi "," Salazar, Nick L. "," Bandy, Paul C. "," Fox-Young, Justine"," Heaton, John A. "," Steinborn, Jeff "," Varela, Luciano ""Lucky"" "," Wallace, Jeannette O. ", ,,,,,,,,,,,,
Judiciary,"Park, A "," Cervantes, Joseph ","  Barela, Elias "," Chasey, Gail "," Foley, Daniel R. "," Maestas, Antonio ""Moe"" "," Martinez, W. Ken "," Rehm, William ""Bill"" R. "," Stewart, Mimi "," Swisstack, Thomas E. "," Vaughn, Gloria C. "," Youngberg, Eric A. "," Zanetti, Teresa A. ", ,,,,,,,
Labor,"Garcia, Miguel P. "," Vigil, Richard D. "," spence ezzell, candy "," Martinez, Rodolpho ""Rudy"" S. "," Williams Stapleton, Sheryl "," Tyler, Shirley A. ", ,,,,,,,,,,,,,,
Transportation,"Silva, Daniel P. "," Lundstrom, Patricia A. "," Bareia, Elias "," Berry, Richard J. "," Chavez, Ernest H. "," Cote, Nathan P. "," Crook, Anna M. "," Gonzales, Roberto ""Bobby"" J. "," Hamilton, Dianne Miller "," Moore, Brian K. "," Powdrell-Culbert, Jane E. "," Saavedra, Henry Kiki ", ,,,,,,,,
Taxation,"Sandoval, Edward C. "," Gonzales, Roberto ""Bobby"" J. "," Arnold-Jones, Janice E. "," Chavez, Ernest H. "," Cote, Nathan P. "," Crook, Anna M. "," Gardner, Keith J. "," Gray, William J. "," Hanosh, George J. "," Lujan, Ben "," Martinez, Rodolpho ""Rudy"" S. "," Nunez, Andy "," Silva, Daniel P. "," Strickler, James R.J. "," Taylor, Thomas C. "," Vigil, Richard D. ", ,,,,
Elections,"Campos, Jose A. "," Garcia, Mary Helen "," Arnold-Jones, Janice E. "," Foley, Daniel R. "," Lujan, Ben "," Madalena, James Roger "," Martinez, W. Ken ","McCoy, Kathy A. "," Picraux, Danice "," Rehm, William ""Bill"" R. "," Rodella, Debbie A. "," Sandoval, Edward C. "," Tyler, Shirley A. "," Youngberg, Eric A. ", ,,,,,,
Printing,"Varela, Luciano ""Lucky"" "," King, Rhonda S. "," Crook, Anna M. "," Foley, Daniel R. "," Gardner, Keith J. "," Hamilton, Dianne Miller "," Heaton, John A. "," Martinez, W. Ken ","Miera, Rick "," Picraux, Danice "," Williams Stapleton, Sheryl "," Taylor, Thomas C. "," Trujillo, Jim R. "," Vigil, Richard D. "," Wallace, Jeannette O. ", ,,,,,
Rules,"Salazar, Nick L. "," Cervantes, Joseph "," Begaye, Ray "," Berry, Richard J. "," Chasey, Gail "," Crook, Anna M. "," Foley, Daniel R. "," Larranaga, Larry A. "," Lujan, Ben "," Martinez, W. Ken ","McCoy, Kathy A. "," Park, Al "," Picraux, Danice "," Rodella, Debbie A. "," Silva, Daniel P. "," Williams Stapleton, Sheryl "," Taylor, Thomas C. "," Tripp, Don L. "," Wirth, Peter "," Youngberg, Eric A. ", 
EnrollingA,"Maestas, Antonio ""Moe"" "," Barreras, Andrew J. "," Bandy, Paul C. ","Berry, Richard J. "," Cote, Nathan P. "," Tyler, Shirley A. ", ,,,,,,,,,,,,,,
EnrollingB,"Steinborn, Jeff "," Bareia, Elias "," Espinoza, Nora "," Garcia, Thomas A. "," Gray, William J. "," Strickler, James R.J. ", ,,,,,,,,,,,,,,
